,origin,tweet_text,tweet_text_NER,tweet_text_NER_STEM,label
1334,MFH,كورونا كوفيد19 الجزائر الحجر_الصحي عاجل| تسجيل اعلى معدل يومي للاصابات في الجزائر ب 305 حالة جديدة إرتفاع عدد الإصابات بكورونا إلى 13273 تسجيل 5 وفيات جديدة بفيروس كورونا في الجزائر إرتفاع عدد الوفيات الى 897 169 مريض تماثلوا للشفاء, LOC د19  LOC  الحجر_الصحي عاجل| تسجيل اعلى معدل يومي للاصابات في  LOC  ب 305 حالة جديدة إرتفاع عدد الإصابات بكورونا إلى 13273 تسجيل 5 وفيات جديدة بفيروس كورونا في  LOC  إرتفاع عدد الوفيات الى 897 169 مريض تماثلوا للشفاء,LOC د 19 LOC حجر _ صحي عاجل | تسجيل أعلى معدل يوم اصاب في LOC ب 305 حالة جديد إرتفاع عدد إصابة كورو إلى 13273 تسجيل 5 وفاة جديد فيروس كورونا في LOC إرتفاع عدد وفاة الى 897 169 مريض ماثل شفاء,True
1342,ARC,«الشلولو».. وجبة مصرية لمواجهة كورونا. عاجل_الإمارات كورونا فيروس_كورونا,« LOC ».. وجبة مصرية لمواجهة كورونا. عاجل_الإمارات  LOC ,« LOC » . . وجبة مصري مواجهة كورونا . عاجل _ إمارة LOC,False
2255,ARC,جربوا هالشيء مع الدعاء والتوسل بفاطمة الزهراء ع ان شاء الله الكل راح يشفى وهو استنشاق بخار الماء سوف يقتل يروس كورونا 100٪ اذا كان موجود بالرئتين او الحنجرة او الانف فالفيروس لا يحتمل درجة حرارة بخار الماء الدافئة .. كورونا,جربوا هالشيء مع الدعاء والتوسل بفاطمة الزهراء ع ان شاء الله الكل راح يشفى وهو استنشاق بخار الماء سوف يقتل يروس كورونا 100٪ اذا كان موجود بالرئتين او الحنجرة او الانف فالفيروس لا يحتمل درجة حرارة بخار الماء الدافئة .. كورونا,جرب هالشيء مع دعاء توسل فاطمة زهراء ع ان شاء الله كل راح أشفى هو استنشاق بخار ماء سوف قتل يروس كورونا 100 ٪ اذ كان موجود رئة أو حنجر أو انف فيروس لا احتمل درجة حرارة بخار ماء دافئ . . كورونا,False
2817,MFH,نتباعد اليوم لنجتمع غدا بأمان كلنا_مسؤول في مواجهة فيروس كورونا الجديد. عند الخروج من المنزل عليك اتباع سبل الوقاية الصحيحة: -احرص على ارتداء الكمامة القماشية. -اغسل يديك وعقمها باستمرار. -ابتعد عن أماكن التجمعات -لا تقترب من أحد واجعل مسافة لا تقل عن مترين الوقاية_من_كورونا,نتباعد اليوم لنجتمع غدا بأمان كلنا_مسؤول في مواجهة فيروس كورونا الجديد. عند الخروج من المنزل عليك اتباع سبل الوقاية الصحيحة: -احرص على ارتداء الكمامة القماشية. -اغسل يديك وعقمها باستمرار. -ابتعد عن أماكن التجمعات -لا تقترب من أحد واجعل مسافة لا تقل عن مترين الوقاية_من_كورونا,تباعد يوم اجتمع غد أمان كل _ مسؤول في مواجهة فيروس كورونا جديد . عند خروج من منزل على اتباع سبيل وقاية صحيح : - أحرص على ارتداء كمام قماشي . - اغسل يد عقم استمرار . - ابتعد عن مكان تجمع - لا اقترب من أحد اجعل مسافة لا قل عن متر وقاية _ من _ كورونا,True
2564,ARC,تحدث عن الصين والخفافيش.. فيلم «كونتيجن» تنبأ ب«كورونا» قبل 9 سنوات (فيديو),تحدث عن  LOC  والخفافيش.. فيلم « PER » تنبأ ب«كورونا» قبل 9 سنوات (فيديو),تحدث عن LOC خفافيش . . فيلم « PER » تنبأ ب « كورونا » قبل 9 سنة ( فيديو ),False
2210,4IF,تلقت روسيا طلبا للحصول على مليار جرعة من لقاح فيروس كورونا من 20 دولة حول العالم. البوسنه_اليوم,تلقت  LOC  طلبا للحصول على مليار جرعة من لقاح فيروس كورونا من 20 دولة حول العالم. البوسنه_اليوم,تلقى LOC طلب حصول على مليار جرعة من لقاح فيروس كورونا من 20 دولة حول عالم . بوسن _ يوم,True
2172,MFH,عند الخروج من المنزل عليك اتباع سبل الوقاية الصحيحة: - اغسل يديك وعقمها باستمرار. - ابتعد عن أماكن التجمعات. - لا تقترب من أحد واجعل مسافة لا تقل عن مترين. وتذكر دائما أن كبار السن، وأصحاب الأمراض المزمنة هم الأكثر عرضة لفيروس كورونا ساهم بحمايتهم. كلنا_مسؤول,عند الخروج من المنزل عليك اتباع سبل الوقاية الصحيحة: - اغسل يديك وعقمها باستمرار. - ابتعد عن أماكن التجمعات. - لا تقترب من أحد واجعل مسافة لا تقل عن مترين. وتذكر دائما أن كبار السن، وأصحاب الأمراض المزمنة هم الأكثر عرضة لفيروس كورونا ساهم بحمايتهم. كلنا_مسؤول,عند خروج من منزل على اتباع سبيل وقاية صحيح : - اغسل يد عقم استمرار . - ابتعد عن مكان تجمع . - لا اقترب من أحد اجعل مسافة لا قل عن متر . ذكر دائم أن كبير سن ، صاحب مرض مزمن هم أكثر عرضة فيروس كورونا ساهم حماية . كل _ مسؤول,True
4655,ARC,«الصحة»: البضائع والطرود القادمة من الصين لاتنشر كورونا,«الصحة»: البضائع والطرود القادمة من  LOC  لاتنشر كورونا,« صحة » : بضاعة طرد قادم من LOC لاتنشر كورونا,True
2220,MFH,(الصحة) الكويتية: ستة مواطنين أنهوا فترة الحجر الصحي يغادرون مركز الحجر بعد تطبيق كافة الاجراءات الوقائية والتأكد من خلوهم من فيروس كورونا المستجد,(الصحة) الكويتية: ستة مواطنين أنهوا فترة الحجر الصحي يغادرون مركز الحجر بعد تطبيق كافة الاجراءات الوقائية والتأكد من خلوهم من فيروس  LOC ,( صحة ) كويتي : ست مواطن أنهى فترة حجر صحي غادر مركز حجر بعد تطبيق كافة إجراء وقائي تأكد من خلو من فيروس LOC,True
3313,ARC,جانب ايجابي ل كورونا و حظر_التجوال في البندقيه ايطاليا رجع البجع والمويا صافية لدرجة انك تشوف الاسماك,جانب ايجابي ل كورونا و حظر_التجوال في البندقيه  LOC  رجع البجع والمويا صافية لدرجة انك تشوف الاسماك,جانب إيجابي ل كورونا و حظر _ تجوال في بندقيه LOC رجع بجع مويا صافي درجة ان تشوف سمكة,False
2842,ARC,قاطع الكويتيون شركة ألبان المراعي السعودية بعد تقارير عن وجود إصابات بفيروس كورونا المستجد جرى التعتيم عليها . وأعلنت عدة جمعيات تعاونية في الكويت، مقاطعتها لمنتجات شركة المراعي بعد رفض السلطات الكويتية منع ادخال منتجات الشركة السعودية قاطعوا_المنتوجات_السعودية موازين نيوز,قاطع  PER   ORG   LOC  بعد تقارير عن وجود إصابات بفيروس كورونا المستجد جرى التعتيم عليها . وأعلنت عدة جمعيات تعاونية في  LOC ، مقاطعتها لمنتجات  ORG  بعد رفض السلطات  LOC ية منع ادخال منتجات الشركة  LOC  قاطعوا_المنتوجات_ LOC  موازين  ORG ,قاطع PER ORG LOC بعد تقرير عن وجود إصابة فيروس كورونا مستجد جرى تعتيم على . أعلن عدة جمعية تعاوني في LOC ، مقاطعة منتج ORG بعد رفض سلطة LOC ية منع إدخال منتج شركة LOC قاطع _ منتوج _ LOC موازي ORG,False
104,ARC,ما حقيقة إعلان منظمة الصحة العالمية سورية بلدا ناجيا من انتشار فايروس كورونا خلال ثلاثة أسابيع؟ إليك تحقق فريق مسبار CoronaVirusFacts DatosCoronaVirus منصة_مسبار حقائق_كورونا كوفيد19 COVID19,ما حقيقة إعلان  ORG  بلدا ناجيا من انتشار فايروس كورونا خلال ثلاثة أسابيع؟ إليك تحقق فريق مسبار  MISC  MISC atos MISC  منصة_مسبار حقائق PER 19 COVID19,ما حقيقة إعلان ORG بلد ناجي من انتشار فايروس كورونا خلال ثلاث أسبوع ؟ إلى تحقق فريق مسبار MISC MISC atos MISC منصة _ مسبار حقيقة PER 19 COVID19,True
246,ARC,وعليكم السلام بناء على المعلومات المتوفرة حاليا فإنه لايوجد خطر من انتقال فيروس كورونا الجديد nCov-2019 عبر البضائع والطرود القادمة من الصين. مع تمنياتنا للجميع بالصحة والعافية,وعليكم السلام بناء على المعلومات المتوفرة حاليا فإنه لايوجد خطر من انتقال فيروس كورونا الجديد nCov-2019 عبر البضائع والطرود القادمة من  LOC . مع تمنياتنا للجميع بالصحة والعافية,على سلام بناء على معلومة متوفر حالي إن لايوجد خطر من انتقال فيروس كورونا جديد nCov - 2019 عبر بضاعة طرد قادم من LOC . مع تمني جميع صحة عافي,True
848,MFH,اشراق_لايف | عاجل متحدث وزارة_الصحة: حتى اليوم، لا يوجد علاج مخصص موجه معتمد تحديدا لمعالجة فيروس كورونا الجديد، واللقاحات لاتزال في مراحل البحث. كلنا_مسؤول,اشراق_لايف | عاجل متحدث وزارة_الصحة: حتى اليوم، لا يوجد علاج مخصص موجه معتمد تحديدا لمعالجة فيروس كورونا الجديد، واللقاحات لاتزال في مراحل البحث. كلنا_مسؤول,اشراق _ لايف | عاجل متحدث وزارة _ صحة : حتى يوم ، لا وجد علاج مخصص موجه معتمد تحديد معالجة فيروس كورونا جديد ، لقاح لايزال في مرحلة بحث . كل _ مسؤول,True
960,4IF,"ترامب يتعاقد مع ""مودرنا"" لشراء 100 مليون جرعة من لقاح كورونا"," PER  يتعاقد مع "" LOC "" لشراء 100 مليون جرعة من  MISC ","PER تعاقد مع "" LOC "" شراء 100 مليون جرعة من MISC",True
361,ARC,كلنا_مسؤول إن الله يحب التوابين ويحب المتطهرين). ما أعظم ربنا الحكيم الذي يحثنا على ملازمة الوضوء،واسباغه والحرص عليه وعلى الطهارة من كافة النجاسات؛لئلا تفوتنا محبته. وتتجلى فوائد الوضوء هذه الايام مع إنتشار فيروس_كورونا حيث ينصح بتكرار الغسل,كلنا_مسؤول إن الله يحب التوابين ويحب المتطهرين). ما أعظم ربنا الحكيم الذي يحثنا على ملازمة الوضوء،واسباغه والحرص عليه وعلى الطهارة من كافة النجاسات؛لئلا تفوتنا محبته. وتتجلى فوائد الوضوء هذه الايام مع إنتشار فيروس_كورونا حيث ينصح بتكرار الغسل,كل _ مسؤول إن الله أحب تواب أحب متطهر ) . ما أعظم رب حكيم الذي حث على ملازمة وضوء ، واسباغه حرص على على طهارة من كافة نجاس ؛ لئلا فات محبة . تجلى فائدة وضوء هذا يوم مع إنتشار فيروس _ كورونا حيث نصح تكرار غسل,False
2818,ARC,دراسة أسترالية تحذر من أن المدخنين أكثر عرضة للإصابة فيروس كورونا الجديد مقارنة بغيرهم Covid_19 COVID2019,دراسة أسترالية تحذر من أن المدخنين أكثر عرضة للإصابة فيروس كورونا الجديد مقارنة بغيرهم  MISC 2019,دراسة أسترالي حذر من أن مدخن أكثر عرضة إصابة فيروس كورونا جديد مقارنة غير MISC 2019,True
4665,ARC,كورونا.. إلتقطت هذه الصورة صباح اليوم الجمعة لطائرة الخطوط الاماراتية مقلعه من دبي إلى بكين ( الصين ) وعلى متنها راكب واحد فقط يحمل الجنسية اليمنيه رايح يشتري بضاعه عرطه.. ويايمني مايهزك ريح,كورونا.. إلتقطت هذه الصورة صباح اليوم الجمعة لطائرة الخطوط الاماراتية مقلعه من  LOC  إلى  LOC  (  LOC  ) وعلى متنها راكب واحد فقط يحمل الجنسية اليمنيه رايح يشتري بضاعه عرطه.. ويايمني مايهزك ريح,كورونا . . إلتقط هذا صورة صباح يوم جمعة طائرة خط إماراتي مقلع من LOC إلى LOC ( LOC ) على متن راكب واحد فقط حمل جنسية يمنيه رايح اشترى ضاع عرط . . ويايمني مايهزك ريح,False
