,Unnamed: 0,origin,tweet_text,label,tweet_text_NER
23,23,ARC,"قررت الهيئة العامة للطيران المدني القطرية منع المسافرين الحاملين للجنسية المصرية ضمن تدابير الحكومة هناك لاحتواء فيروس ""كورونا المستجد""، بحسب بيان إعلامي للهيئة اليوم الأحد. وبحسب البيان، ينطبق قرار الهيئة على جميع المسافرين، السابق الإشارة لهم، حتى في حالة حملهم لإقامة سارية",False,"قررت  ORG  منع المسافرين الحاملين للجنسية المصرية ضمن تدابير الحكومة هناك لاحتواء فيروس "" LOC ""، بحسب بيان إعلامي للهيئة اليوم الأحد. وبحسب البيان، ينطبق قرار الهيئة على جميع المسافرين، السابق الإشارة لهم، حتى في حالة حملهم لإقامة سارية"
24,24,4IF,الخليجيون في مرمى دراسات كورونا السريرية الصينيه. بعد الامارات، الصين تبدأ تجربة لقاح شركة سينوفارم ضد كوفيد19 في البحرين. اكيد شايفين شي عندهم مو شايفينه في الكويت!,False, PER  في مرمى دراسات كورونا السريرية  LOC يه. بعد  LOC ،  LOC  تبدأ تجربة لقاح  ORG  ضد  MISC  في  LOC . اكيد شايفين شي عندهم مو شايفينه في  LOC !
25,25,4IF,”كورونا“ يسقط قطر من جديد في فخ ”إهانة“ العمالة الأجنبية (صور) إرم_نيوز الدوحة نطالب_بحظر_تجول_في_قطر,False,”كورونا“ يسقط قطر من جديد في فخ ”إهانة“ العمالة الأجنبية ( LOC ) إرم_نيوز الدوحة نطالب_بحظر_تجول_في_قطر
26,26,4IF,سويسرا تحجز ملايين الجرعات من لقاح ضد كورونا قيد التطوير للتفاصيل:  نتصدر_المشهد COVID19,True, LOC  تحجز ملايين الجرعات من لقاح ضد كورونا قيد التطوير للتفاصيل:  نتصدر_المشهد COVID19
27,27,MFH,الفرق بينك وبين الي عندو كورونا انه هو عمل فحص و انت لأ. الدعم_النفسي,False,الفرق بينك وبين الي عندو كورونا انه هو عمل فحص و انت لأ. الدعم_النفسي
28,28,MFH,وزيرة الهجرة تنفي وصول أي مركب من إيطاليا بصورة غير شرعية تنقل مصريين مصابين بفيروس كورونا,True,وزيرة الهجرة تنفي وصول أي مركب من  LOC  بصورة غير شرعية تنقل مصريين مصابين بفيروس كورونا
29,29,4IF,روسيا تحضر تشرنوبل جديده يتعدى الموضوع التسمية وما تحمله من بروبغندا الى اعلان روسيا ان لديها طلب لمليار جرعة! تخيل مليار شخص يحصلون على لقاح لم ينشر عنه بحث علمي! وتخيل كم من المليار شخص لو التقط العدوى سيكون افضل من الحصول على هذا اللقاح,False, LOC  تحضر  PER  جديده يتعدى الموضوع التسمية وما تحمله من  LOC  الى اعلان  LOC  ان لديها طلب لمليار جرعة! تخيل مليار شخص يحصلون على لقاح لم ينشر عنه بحث علمي! وتخيل كم من المليار شخص لو التقط العدوى سيكون افضل من الحصول على هذا اللقاح
30,30,ARC,العراق اهون الدول بالنسبه لكورونا لان فيروس ينشط بالاجواء البارده بينما يموت بالاجواء الحاره واتصور مراح يكون اله تداعيات مثل باقي الدول بسبب جو العراق الحار مع ذلك أخذو احتياطتكم الصحيه اهم شي النظافه معا_لعراق_بلا_كورونا,False, LOC  اهون الدول بالنسبه لكورونا لان فيروس ينشط بالاجواء البارده بينما يموت بالاجواء الحاره واتصور مراح يكون اله تداعيات مثل باقي الدول بسبب جو  LOC  الحار مع ذلك أخذو احتياطتكم الصحيه اهم شي النظافه معا_لعراق_بلا_كورونا
31,31,ARC,"ايطاليا تعلن استسلامها ورئيس وزرائها يقول: ""انتهت حلول الأرض، الأمر متروك للسماء"" فيارب السماء والارض ، لاتوآخذنا بما فعل السفهاء منا فنحن موقنين مؤمنين بقوتك وجبروتك في الأمس واليوم والغد . سبحانك ربي ما أعظمك كورونا",False," LOC  تعلن استسلامها ورئيس وزرائها يقول: ""انتهت حلول الأرض، الأمر متروك للسماء"" فيارب السماء والارض ، لاتوآخذنا بما فعل السفهاء منا فنحن موقنين مؤمنين بقوتك وجبروتك في الأمس واليوم والغد . سبحانك ربي ما أعظمك كورونا"
32,32,ARC,الامارات تقريبا اول دولة عربية اعلنت تسجيل حالات كورونا وفيها جنسيات عربية واجنية كتير جدا ومع ذلك مشفناش ولا واحد اماراتى بيشتم فى والوافدين او بيطلب بتريحلهم الحقيقة شعب زايد اثبت انه شعب محترم ومثقف,True, LOC  تقريبا اول دولة عربية اعلنت تسجيل حالات كورونا وفيها جنسيات عربية واجنية كتير جدا ومع ذلك مشفناش ولا واحد اماراتى بيشتم فى والوافدين او بيطلب بتريحلهم الحقيقة شعب زايد اثبت انه شعب محترم ومثقف
33,33,ARC,تنبأت رواية الكاتب الأمريكي دين كونتز المكتوبة في كتابه : عيون الظلام The Eyes of Darkness والمنشورة عام 1981 بانتشار فيروس كورونا التاجي عام 2020 فيروس_كورونا_المستجد كورونا الكويت,False,تنبأت رواية الكاتب الأمريكي  PER  المكتوبة في كتابه : عيون الظلام  MISC  of Darkness والمنشورة عام 1981 بانتشار فيروس  LOC  عام 2020 فيروس_كورونا_المستجد  LOC 
34,34,4IF,"السبلة_العمانية - روسيا تطلق على اللقاح اسم "" سبوتنيك "" وهو اسم وكالة أنباء عالمية تمتلكها روسيا فيروس_كورونا كوفيد_19",True,"السبلة_العمانية -  LOC  تطلق على اللقاح اسم ""  LOC  "" وهو اسم  ORG  تمتلكها  LOC   PER _19"
35,35,4IF,تطعيم 7 مليار بشر لان 0.011% منهم ماتوا والكثير بأرقام وهمية جميل جدا,False,تطعيم 7 مليار بشر لان 0.011% منهم ماتوا والكثير بأرقام وهمية جميل جدا
36,36,ARC,انباء وتقارير صحفيه ايطاليه تتحدث عن اصابة باولو ديبالا نجم يوفينتوس بفايروس كورونا,False,انباء وتقارير صحفيه ايطاليه تتحدث عن اصابة  PER  نجم  PER   PER 
37,37,4IF,بوتين يعلن اول لقاح ل كورونا في العالم!,True, PER  يعلن اول لقاح ل كورونا في العالم!
38,38,ARC,صدام حسين يتكلم عن فيروس كورونا فيروس_كورونا,False, PER  يتكلم عن فيروس  LOC 
39,39,4IF,ترامب يخوض انتخابات قاسية، وخارج لقاح كورونا يبدو بعيد المنال، يستميت لإنجاز تفاهم بشروطه مع ايران يضرب فيه تفاهم اوباما-بايدن السابق، ويرى في العراق و لبنان وسيلة ضغط ناجعة لتحقيق ذلك وإنجاز ترسيم حدودي مع اسرائيل يضمن فيه المزيد من تأييد اللوبي اليهودي,False, MISC  يخوض انتخابات قاسية، وخارج لقاح كورونا يبدو بعيد المنال، يستميت لإنجاز تفاهم بشروطه مع  LOC  يضرب فيه تفاهم  PER - PER ، ويرى في  LOC  و  LOC  وسيلة ضغط ناجعة لتحقيق ذلك وإنجاز ترسيم حدودي مع  LOC  يضمن فيه المزيد من تأييد اللوبي اليهودي
40,40,MFH,عائلتي وأصدقائي الأعزاء، إذا قررتم زيارتي الرجاء التقيد بهذه التعليمات: 1- ما تجو. شكرا فيروس_كورونا كورونا_لبنان لا_داعي_للهلع سنموت_بعد_قليل لبنان_ينتفض لا_ثقة انتخابات_نيابية_مبكرة,False,عائلتي وأصدقائي الأعزاء، إذا قررتم زيارتي الرجاء التقيد بهذه التعليمات: 1- ما تجو. شكرا فيروس_كورونا كورونا_ LOC  لا_داعي_للهلع سنموت_بعد_قليل  LOC _ينتفض لا_ثقة انتخابات_نيابية_مبكرة
41,41,MFH,لا بعدين ولا قبلين سنموت_بعد_قليل كورونا_لبنان الكورونا الكورونا_صابتنا من صفحة وفاء الراجح,False,لا بعدين ولا قبلين سنموت_بعد_قليل كورونا_لبنان الكورونا الكورونا_صابتنا من صفحة وفاء الراجح
42,42,4IF,عالم بريطاني: فيروس كورونا سيبقى معنا إلى الأبد و لقاحات متكررة قد تكون الحل,False,عالم بريطاني: فيروس كورونا سيبقى معنا إلى الأبد و لقاحات متكررة قد تكون الحل
43,43,ARC,أشتهي أن يقوم مركز بحثي حول هذه الظاهرة، فلعل الوضوء خمس مرات في اليوم له دور إيجابي في ذلك ويخفف من انتشار كورونا.. أقول لعل، وهذا ما يؤكده إلا الدراسات المعمقة,False,أشتهي أن يقوم مركز بحثي حول هذه الظاهرة، فلعل الوضوء خمس مرات في اليوم له دور إيجابي في ذلك ويخفف من انتشار كورونا.. أقول لعل، وهذا ما يؤكده إلا الدراسات المعمقة
44,44,ARC,أنباء مؤكدة إصابة تميم بن حمد أمير دويلة قطر الإرهابية بفيروس كورونا بعد استقباله مندوبة أمريكية حاملة للمرض قادمة من إيطاليا نسأل الله أن يهلك الظالمين بما ظلموا,False,أنباء مؤكدة إصابة  PER  أمير دويلة  LOC  الإرهابية بفيروس كورونا بعد استقباله مندوبة أمريكية حاملة للمرض قادمة من  LOC  نسأل الله أن يهلك الظالمين بما ظلموا
45,45,MFH,انتقل الى رحمة الله مساء يوم السبت الموافق 7 نوفمبر 2020 احد ابناء منطقة النبي_شيت مركز مدينة الموصل بطل القادسية اللواء الركن الطيار (محمود جاسم الجبوري ابو صفوان)اثر اصابته بفايروس كورونا تغمده الله بواسع رحمته واسكنه فسيح جناته والهم اهله وذويه الصبر والسلوان0 احمد_عباس,True,انتقل الى رحمة الله مساء يوم السبت الموافق 7 نوفمبر 2020 احد ابناء منطقة  LOC  مركز مدينة  LOC  بطل  LOC  اللواء الركن الطيار ( PER )اثر اصابته بفايروس كورونا تغمده الله بواسع رحمته واسكنه فسيح جناته والهم اهله وذويه الصبر والسلوان0  PER 
46,46,ARC,الدون كريستيانو رونالدو يقرر تحويل جميع فنادقه إلى مستشفيات للحجر الصحى ويتكفل برواتب جميع العاملين فيها الله عليك ما أروعك الإنسانية لا دين ولا جنسية لها يا سادة الكورونا,False,الدون  PER  يقرر تحويل جميع فنادقه إلى مستشفيات للحجر الصحى ويتكفل برواتب جميع العاملين فيها الله عليك ما أروعك الإنسانية لا دين ولا جنسية لها يا سادة الكورونا
47,47,ARC,الصين بدأت بإطلاق النار وقتل المصابين بفايروس كورونا للحد من انتشار الفايروس ،، وآخر شي يتغنون بحقوق الإنسان,False, LOC  بدأت بإطلاق النار وقتل المصابين  PER  للحد من انتشار الفايروس ،، وآخر شي يتغنون بحقوق الإنسان
48,48,ARC,يتداول مستخدمون لموقع فيسبوك مجموعة صور يدعون أنها لمسلمين يقيمون الصلاة في شوارع إيطاليا سائلين الله أن يحفظهم من فيروس كورونا المستجد هذه الصور قديمة ولا علاقة لها بالفيروس الجديد التفاصيل كاملة فرانس_برس,True,يتداول مستخدمون لموقع فيسبوك مجموعة صور يدعون أنها لمسلمين يقيمون الصلاة في  LOC  سائلين  MISC  أن يحفظهم من فيروس  LOC  هذه الصور قديمة ولا علاقة لها بالفيروس الجديد التفاصيل كاملة فرانس_برس
49,49,ARC,لبنان تعلن انتهاء العام الدراسي بسبب انتشار مرض كورونا:,False, LOC  تعلن انتهاء العام الدراسي بسبب انتشار مرض كورونا:
50,50,MFH,في خبر مفرح .. متحدث وزارة_الصحة : 11 ألف شخص غادروا الحجر الصحي بعد التأكد من خلوهم من فيروس كورونا,True,في خبر مفرح .. متحدث وزارة_الصحة : 11 ألف شخص غادروا الحجر الصحي بعد التأكد من خلوهم من فيروس كورونا
51,51,ARC,يبدو أن هناك حالات تفشي بفيروس كورونا (كوفيد 19) في مصر تتكتم عنها السلطات المصرية فبعد أن أعلنت الكويت إجراءات مشددة على القادمين من مصر فقد أصدرت الهيئة العامة للطيران المدني في قطر قرارا بحظر وصول المواطنيين المصريين إلى قطر حتى من يحملون إقامات في قطر,False,يبدو أن هناك حالات تفشي بفيروس كورونا (كوفيد 19) في  LOC  تتكتم عنها السلطات ال LOC ية فبعد أن أعلنت  LOC  إجراءات مشددة على القادمين من  LOC  فقد أصدرت الهيئة العامة للطيران المدني في  LOC  قرارا بحظر وصول المواطنيين ال LOC يين إلى  LOC  حتى من يحملون إقامات في  LOC 
52,52,4IF,أعلنت المفوضية الأوروبية،اليوم، أنها حجزت باسم الدول الأعضاء، 300 مليون جرعة من عقار ضد فيروس كورونا المستجد تعمل عليه المجموعة الفرنسية سانوفي . وقال البيان إن المفوضية تواصل “مناقشات مكثفة” مع مجموعات أخرى تعمل على إنتاج لقاح مماثل.,True,أعلنت  ORG ،اليوم، أنها حجزت باسم الدول الأعضاء، 300 مليون جرعة من عقار ضد فيروس كورونا المستجد تعمل عليه المجموعة الفرنسية  ORG  . وقال البيان إن المفوضية تواصل “مناقشات مكثفة” مع مجموعات أخرى تعمل على إنتاج لقاح مماثل.
53,53,MFH,تعلن وزارة_الصحة عن وفاة مقيم مصاب بمرض كورونا كوفيد19 يبلغ من العمر ثلاثة وأربعين عاما ليبلغ عدد الوفيات من هذا المرض بالسلطنة ست عشرة وفاة. وتتقدم وزارة الصحة إلى ذوي الفقيد بخالص العزاء والمواساة سائلة الله سبحانه أن يلهم أهله وذويه الصبر والسلوان خليك_بالبيت,True,تعلن وزارة_الصحة عن وفاة مقيم مصاب بمرض كورونا كوفيد19 يبلغ من العمر ثلاثة وأربعين عاما ليبلغ عدد الوفيات من هذا المرض بالسلطنة ست عشرة وفاة. وتتقدم وزارة الصحة إلى ذوي الفقيد بخالص العزاء والمواساة سائلة الله سبحانه أن يلهم أهله وذويه الصبر والسلوان خليك_بالبيت
54,54,4IF,بعد أقل من 10 أيام من هذه التغريدة..ألقى اردوغان خطاب “صوتي” وهو مختبئ وناشد شعبه البقاء في منازلهم وتم الإعلان عن 21 وفاة بسبب كورونا ..هذا جزاء شماتتهم,False,بعد أقل من 10 أيام من هذه التغريدة..ألقى  PER  خطاب “صوتي” وهو مختبئ وناشد شعبه البقاء في منازلهم وتم الإعلان عن 21 وفاة بسبب كورونا ..هذا جزاء شماتتهم
55,55,ARC,فيدوا مسرب للرئيس صدام هددت امريكا الرئيس الراحل صدام_حسين بنشر فيروس كورونا في العراق الحرب البيولوجية قذره سواء استخدمها ترمب او بشار او اي مجرم من المجرمين البلدين المنتشر بهم المرض الصين و ايران و العلاج من امريكا,False,فيدوا مسرب للرئيس صدام هددت  LOC  الرئيس الراحل  PER  بنشر فيروس كورونا في  LOC  الحرب البيولوجية قذره سواء استخدمها ترمب او بشار او اي مجرم من المجرمين البلدين المنتشر بهم المرض  LOC  و  LOC  و العلاج من  LOC 
56,56,ARC,أخبار جيدة.. *كورونا* فيروس أوهان يمكن معالجته بماء الثوم الطازج المغلي طبيب صيني مسن اثبت فعاليتها وكذلك عدة مرضى استخدموها واثبتوا فعاليتها -الطريقة خذ 8 فصوص ثوم كبيرة واهرسها اضف 7 كؤوس ماء ثم أغلى الخليط كل الثوم واشرب من الماء المغلي. بين ليلة وضحاها (ماكوه كورونا),False,أخبار جيدة.. *كورونا* فيروس أوهان يمكن معالجته بماء الثوم الطازج المغلي طبيب صيني مسن اثبت فعاليتها وكذلك عدة مرضى استخدموها واثبتوا فعاليتها -الطريقة خذ 8 فصوص ثوم كبيرة واهرسها اضف 7 كؤوس ماء ثم أغلى الخليط كل الثوم واشرب من الماء المغلي. بين ليلة وضحاها ( LOC )
57,57,4IF,روسيا 53.8% من الروس لا يثقون بلقاح فيروس كورونا الروسي ولا يريدون الحصول على اللقاح، بحسب ليفادا,False, LOC  53.8% من  PER  لا يثقون بلقاح فيروس كورونا  PER ي ولا يريدون الحصول على اللقاح، بحسب  PER 
58,58,4IF,طبيب إيطالي يتحدث عن حقيقة فيروس_كورونا ويقول ان هذا المرض تمت صناعته ويستهدف القضاء على تكاثر البشر والقضاء على نسبة كبيرة منهم، ويقول تجنب فحص كورونا وتجنب اي لقاح ولا تصدق الارقام التي تنشر.,False,طبيب إيطالي يتحدث عن حقيقة فيروس_كورونا ويقول ان هذا المرض تمت صناعته ويستهدف القضاء على تكاثر البشر والقضاء على نسبة كبيرة منهم، ويقول تجنب فحص كورونا وتجنب اي لقاح ولا تصدق الارقام التي تنشر.
59,59,4IF,روسيا تبدأ إنتاج لقاح «سبوتنيك V» المضاد ل كورونا,True, LOC  تبدأ إنتاج لقاح « MISC » المضاد ل كورونا
60,60,ARC,نقطة أخيرة ومهمة جدا جدا .. - الغرغرة مرتين يوميا بماء دافيء + ملح أو الغرغرة اللي تباع في الصيدليات .. حفظنا الله جميعا فيروس_كورونا,False,نقطة أخيرة ومهمة جدا جدا .. - الغرغرة مرتين يوميا بماء دافيء + ملح أو الغرغرة اللي تباع في الصيدليات .. حفظنا الله جميعا فيروس_كورونا
61,61,MFH,كورونا — المفوضية الأوروبية تسمح باستخدام عقار رمديسيفير لمعالجة المصابين بكورونا,True,كورونا —  ORG  تسمح باستخدام عقار  PER  لمعالجة المصابين  LOC 
62,62,ARC,وزارة_الصحة_السعودية : لاخطورة من استلام الطرود البريدية من الصين كورونا,True, ORG  LOC  : لاخطورة من استلام الطرود البريدية من  LOC 
63,63,MFH,عند الخروج من المنزل عليك اتباع سبل الوقاية الصحيحة: - اغسل يديك وعقمها باستمرار. - ابتعد عن أماكن التجمعات - لا تقترب من أحد واجعل مسافة لا تقل عن مترين وتذكر دائما أن كبار السن، وأصحاب الأمراض المزمنة هم الأكثر عرضة للفيروس.. ساهم بحمايتهم. كورونا خلك_بالبيت,True,عند الخروج من المنزل عليك اتباع سبل الوقاية الصحيحة: - اغسل يديك وعقمها باستمرار. - ابتعد عن أماكن التجمعات - لا تقترب من أحد واجعل مسافة لا تقل عن مترين وتذكر دائما أن كبار السن، وأصحاب الأمراض المزمنة هم الأكثر عرضة للفيروس.. ساهم بحمايتهم. كورونا خلك_بالبيت
