,origin,tweet_text,label
2877,ARC,[مستخدم] خبير # صيني يجزم ويؤكد ان استنشاق بخار الماء يقتل فيروس # كورونا 100 % اذا كان موجود في الرئتين أو الحنجرة أو الأنف فالفيروس لا يحتمل درجة حرارة بخار الماء الدافئة . . ارجو نشر هذه المعلومه,False
633,ARC,"أصبح انتشار فيروس # كورونا الجديد حديث العالم ورواد مواقع التواصل الاجتماعي ، الذين أكدوا على تنبأ مسلسل "" ذا سيمبسونز "" الشهير بانتشار الفيروس في إحدى حلقاته القديمة التفاصيل",False
2464,ARC,[مستخدم] وثيقة فاضحة من هيئة الطيران القطري . تبين سبب انتشار وباء كورونا في قطر بشكل خطير : منع السفر الى الكويت وعمان واستثناء ايران و تركيا ؟ من يقدم مصلحة اقتصاد بلده وتحالفاته الشيطانية على مصلح,False
3786,ARC,أختبار بسيط لمعرفه فيروس كورونا خلال عشر ثواني دون مراجعه الطبيب قد لا يظهر كورونا في البدايه اي علامات للعدوي لحد ظهور الأعراض 19COVIDالأطباء اليابانيين يقدمون اختبار بسيط يمكن القيام به كل صباح : خد نفسا عميقا وأمسك أنفاسك لمده 10 ثواني,False
501,4IF,« الصحة الروسية » : بدأنا إنتاج لقاح لفيروس كورونا # موسكو # كورونا [رابط] [رابط],True
4820,ARC,⭕ عاجل نقلب السحر على الساحر . . اراد العالم الامريكي دمتري تدمير الصين وايران وايطاليا فخرج الفايروس عن السيطره وقتله هو وزوجته وبنته والان امريكا تعلن ان الوباء خرج عن السيطره . . مخترع ( فايروس كورونا ),False
787,MFH,# كورونا 👇 لا داع للهلع 🦹 🏻 ‍ ♀ سنموت بعد قليل حسن كورونا 👎 # لبنان 💗,False
2357,ARC,طبيبان صينيان أصيبا ب # فيروس _ كورونا تتحول بشرتهما إلى اللون الاسود,True
4699,MFH,تنعي إدارة منطقة الفروانية الصحية زميلنا الدكتور جمال حمزة من قسم الحوادث العامة في مستشفى الفروانية الذي وافته المنية متاثرا بمضاعفات فيروس # كورونا ، اللهم ارحمه وألهم أهله ومحبيه الصبر والسلوان إنا لله وإنا إليه راجعون [رابط],True
555,4IF,# عاجل . . # الاتحاد _ الاوروبي يوقع اتفاقا مع شركة # استرازينيكا لتوريد 400 مليون جرعة لقاح ضد # فيروس _ كورونا # صحيفة _ الخليج [رابط],True
1027,MFH,🔴 # هام ⬅ رئيس الجمهورية عبد المجيد # تبون يترأس إجتماعا للمجلس الأعلى للأمن بمقر # رئاسة _ الجمهورية ⬅ الاجتماع خصص لدراسة ومتابعة تطور وباء # كورونا _ فيروس في البلاد ⬅ سيصدر مساء اليوم بيان حول الاجراءات الإضافية المتخذة لمواجهة هذا الوباء [رابط],True
4208,MFH,""" سنموت جميعا "" . . الرئيس البرازيلي يصدم شعبه بتعليقات حول كورونا [رابط] # عاجل [رابط]",True
3904,4IF,مسؤولون : معظم # الأمريكيين لن يحصلوا على لقاح # كورونا قبل منتصف العام المقبل حتى إذا تم اكتشافه في 2020 [رابط] [رابط],False
2678,ARC,🚑 🚨 | اصابة اللاعب الارجنتيني باولو ديبالا بمرض # كورونا,False
584,MFH,لسلامتكم وسلامة جميع أفراد المجتمع نؤكد على ضرورة الالتزام بالتوجيهات الصادرة عن الجهات الرسمية للوقاية من عدوى # كورونا ب : تجنب التجمعات المزدحمة ، الابتعاد عن المصافحة والتقبيل ، الحرص على النظافة الشخصية وخاصة غسل اليدين بالماء والصابون لمدة لا تقل عن 20 ثانية . حمى الله الجميع,True
2722,MFH,بعدا السنة بشهرا التاني وهلقد في مصايب ، شو مخبايين الأشهر العشرة يلي جايين ؟ ؟ # سنموت _ بعد _ قليل # لا _ داعي _ للهلع # كورونا _ لبنان,False
927,ARC,الإمارات أول دولة عربية تعلن إصابة مواطنيها ب # فيروس _ كورونا الجديد # كورونا _ في _ الامارات,True
4612,MFH,و بيطلع الوزير بقلك نعتمد على وعي المواطنين و حسهم بالمسؤولية ! 😅 # إهلعوا # لا _ داعي _ للهلع # سنموت _ بعد _ قليل # كورونا _ لبنان # كورونا,False
23,ARC,"قررت الهيئة العامة للطيران المدني القطرية منع المسافرين الحاملين للجنسية المصرية ضمن تدابير الحكومة هناك لاحتواء فيروس "" كورونا المستجد "" ، بحسب بيان إعلامي للهيئة اليوم الأحد . وبحسب البيان ، ينطبق قرار الهيئة على جميع المسافرين ، السابق الإشارة لهم ، حتى في حالة حملهم لإقامة سارية",False
2374,MFH,# البيت _ الأبيض لم ينتبهوا للكاميرا مقطع مسرب لفريق عمل # ترامب يتكلمون عن # كورونا _ فيروس بأنه خدعة وبأن اللقاح موجود وأنهم ملقحون ضده فلا داعي للبس الكمامات عندما لا يكون البث ويخبر أحدهم أن الوفيات مزورة وأن الفيروس ضعيف جدا # فيروس _ كورونا # الحظر _ الكلي # الصحة # Covid _ 19 # Corona [رابط],False
3021,ARC,"# بريطانيا . . شحنة أجهزة لفحص # كورونا تحمل "" كارثة مميتة "" تفاصيل : # ادفعوا _ البلاء _ صدقه # سلام _ اكتروني _ السلام _ عليكم # الدكاتره _ الاطباء _ جنود _ العالم # كورونا # كورونا _ الجديد # كورونا _ مصر # كورونا _ الاردن # فيروس _ كورونا _ المستجد # خليك _ بالبيت # خليك _ ببيتك _ وانشد _ لوطنك",True
2110,ARC,# فيروس _ كورونا لا ينتقل في الهواء اذا بقيت في البيت وبمعزل عن المرضى . إنه ليس # ملاريا ، ولا ينتقل بالبعوض ، وليس # طاعون لينتقل في منزلك من البراغيث التي تعيش على # الفئران . الحذر و # البقاء _ في _ المنزل والالتزام بالنظافة ينقذ حياتك وحياة الآخرين ويوقف سلسلة انتشار العدوى . # COVID19,True
287,ARC,أنا : البضائع المطلوبة من الصين ليست وسيلة من وسائل نقل فايروس كورونا أنا بعد ما طلبت :,True
1616,ARC,كريستيانو رونالدو اشترى جزيرة في البرتغال وتحديدا في مدينة ماديرا للحجر الصحي له ولعائلته حتى انتهاء ازمة # الكورونا . . وانا أصلا ما اشتريتش كمامة من الصيدلية آلحمد الله 😊,False
1618,ARC,م عارف اجيبها ليكم كيف لكن اب جضوم حسم الفوضى رئيس كوريا الشمالية وجه باعدام اي زول مصاب بفيروس كورونا منعا لانتشاره 😂 😂,False
1101,4IF,اثبتت اختبارات اجريت على لقاح ضد فيروس كورونا في جامعة كوينزلاند الاسترالية فعاليته في التجارب ما قبل السريرية حيث قدم اللقاح مستويات مناعة افضل من تلك التي اكتسبها المصابون بالفيروس بعد تعافيهم . [رابط],True
705,ARC,# فيروس _ كورونا _ المستجد اختبار بسيط في 10 ثواني يعرفك هل انت مصاب بفيروس كورونا ام لا | مهم جدا,False
4722,ARC,تعرف على طريقة علاج مصابي فيروس # كورونا باستخدام البلازما # وقاية _ وأمان # StayAtHome,True
4002,ARC,فيلم امريكي يتنبأ بمرض # كورنا من عشر سنوات بالاضافه للبلد # الصين _ كورونا ومصدر المرض الخفافيش . . هي هذه صدفه ام حرب مدبره,False
691,ARC,1 ) رواية « عيون الظلام » The Eyes of darkness للكاتب الأمريكي دين راي كونتز Dean Ray Koontz ، التي نشرت في 1981 ، يعتبرها السذج بإنها قد تنبأت بما يحدث الآن من تفشي # فيروس _ كورونا _ الجديد ، وفي الواقع . . تابع,True
944,ARC,"🔴 , , . 💥 الاعلام العبري يتحدث عن اصابة محمد بن زايد بفيروس كورونا نقلته عاملة فليبينية ووضعه بالحجر الصحي # كورونا",False
2776,4IF,تخطط روسيا للبدء بطرح لقاح فايروس كورونا لعامة السكان بدءا من أكتوبر ، على أمل أن تكون أول دولة تبدأ التطعيمات الشاملة ضد فيروس قتل أكثر من 679000 شخص في جميع أنحاء العالم [رابط],True
533,ARC,2 ⃣ 3 ⃣ د . نزار باهبري : خلك من القلافز . . غسل يدك ، والوضوء حقك بينظف كل الأماكن المكشوفة أمام فيروس # كورونا . . [مستخدم],False
1840,4IF,كورونا تدخل في تجربة لقاح ضد فيروس المزروعي [رابط],True
387,4IF,"أعلن الرئيس الأمريكي دونالد ترامب ، أن حكومته ستشترى 100 مليون جرعة من لقاح فيروس كورونا المستجد ( كوفيد - 19 ) التجريبي من شركة "" موديرنا "" الأمريكية للتكنولوجيا الحيوية ، والذى يخضع حاليا للتجارب البشرية فى مراحله الأخيرة [رابط]",True
3243,ARC,الشهيد صدام حسين يتحدث عن فيروس كورونا,False
4487,MFH,كورونا في الجزائر : 612 إصابة جديدة و 13 حالة وفاة [رابط],True
1174,ARC,الاسلام ينتشر 💕 عدد كبير من الصنيين اعتنقوا الاسلام بنفس اللحظة # كورونا _ فيروس # كورونا _ الصين,False
538,ARC,"إصابة لاعب يوفنتوس "" باولو ديبالا "" بفايروس # كورونا",False
2876,4IF,لكن الرئيس الأميركي دونالد # ترمب ، اتهم جهات بتأخير اختبارات لقاح فيروس # كورونا لما بعد الثالث من نوفمبر المقبل ، وطالب بضرورة تسريع اختبارات اللقاح لإنقاذ أرواح الأميركيين ، مشيرا إلى أن منظمة الغذاء والدواء تصعب على الشركات إجراء اختبارات اللقاح # اندبندنت _ عربية _ تغنيك [رابط],False
2325,ARC,يمكن للأم المصابة ب # فيروس _ كورونا ارضاع # طفل ها لكن عليها الالتزام بالارشادات التالية # كوفيد 19,True
1272,ARC,# فيروس _ كورونا رئيس كوريا الشماليه يصرح بأن مرض كيرونا لن يدخل بلاده لأن اي مصاب بهذا المرض سيتم اعدامه … . 🔔 🔔 إنه صحب القرارات السريعه الخبيث ابن الخبيث 🤣 🤣,False
4419,MFH,وزير الصحة الدكتور باسل الصباح : إنا لله وإنا إليه راجعون ، أعزي نفسي وكل الزملاء بوفاة الاخ د . طارق حسين مخيمر ، من أطباء الأنف والأذن والحنجرة في مستشفى زين متأثرا بمضاعفات فيروس كورونا المستجد . رحمه الله وألهم أهله ومحبيه الصبر والسلوان . [رابط],True
3768,ARC,😷 حول فيروس * كورونا * 👇 فيروس أوهان يمكن معالجته بماء الثوم الطازج المغلي ، طبيب صيني مسن اثبت فعاليته 👍 ومرضى استخدموهاواثبتوافعاليتها - الطريقة : خذ 8 فصوص ثوم كبيرة واهرسهاثم اضف 7 كؤوس من الماءعليه واغلي الخليط وصفه كل الثوم واشرب من الماءالمغلي وخلال ايام ستتحسن بإذن الله 0 منقول 🌷,False
1268,ARC,"🔸 عليك أن تداوم على الغرغرة أيضا ب دواء الغرغرة Betadine Sore Throat للتقليل او القضاء على الجراثيم في اللوزتين قبل ان تتسرب الى رئتيك , إضافة الى المداومة على شرب المياه . شارك المعلومة ليعم الوعي # فيروس _ كورونا",False
100,ARC,""" الصحة العالمية "" توضح : الغرغرة بالماء المالح لا تقتل "" كورونا "" # Bahrain # البحرين # أخبار # الوطن",True
2510,ARC,متابعات . . # ولي عهد أبو ظبي محمد بن زايد أصيب بفيروس # كورونا . الباحثة الأميركية المختصة في الشأن الخليجي كارين آن كاري : # عاملة فلبينية في قصر العائلة نقلت العدوى لابن زايد . كاري : # ابن زايد نقل إلى مستشفى كليفلاند في أبو ظبي ثم نقل إلى حجر داخلي في قصره,False
1489,ARC,جانب من مداخلتي . . حول أزمة إساءة معاملة الافارقة في # الصين على خلفية الاشتباه باصابتهم بفيروس # كورونا,True
3750,4IF,# فرنسا 🇫 🇷 تسجل أعلى عدد اصابات يومية ب # فيروس _ كورونا منذ 14 أبريل ⚠ التوقف عن # لبس _ الكمام و الالتزام ب # التباعد _ الجسدي دون وجود لقاح أو دواء سيتسبب بموجة وبائية جديدة تزيد فيها فرص فرض # الاغلاق و # الحظر مرة أخرى . الحذر مطلوب . # الموجة _ الثانية [رابط],True
478,ARC,التدخين قد يكون سبب رئيسي ليجعلك أكثر عرضه للإصابة بفيروس # كورونا لذلك انتبه وتوقف عن التدخين من أجل سلامتك,True
1426,ARC,خطه عالميه الاهتمم بموضوع اصابة بن زايد وترك مائة مليون مصري يصاب بالمرض في ظل كذب وتزييف الحقائق من قبل السلطات المصريه # كورونا # تقديم _ الاختبارات _ قبل _ رمضان # فيروس _ كورونا # محمد _ بن _ زايد # مصر _ كورونا # coronavirus,False
1886,ARC,في واقعة غريبة ، تحول لون وجه طبيبين صينيين إلى اللون الأسود ، أثناء علاجهما بعد أن أصيبا ب # فيروس _ كورونا ورجح أطباء أن السبب هو اختلال هرموني بعد تضرر # الكبد من # الأدوية التي تلقياها في بداية # العلاج,True
1992,MFH,1510 حالة هيدا الرقم ببرهن إنو # كورونا بي ألف خير ! 😅 # لا _ داعي _ للهلع # ما _ كلنا _ ماكلين _ خرا # سنموت _ بعد _ قليل,False
33,ARC,تنبأت رواية الكاتب الأمريكي دين كونتز المكتوبة في كتابه : عيون الظلام The Eyes of Darkness والمنشورة عام 1981 بانتشار فيروس كورونا التاجي عام 2020 # فيروس _ كورونا _ المستجد # كورونا # الكويت,False
3096,ARC,ملك ال infection control 👌 رئيس كوريا الشمالية يقول ان فايروس كورونا لن ينتشر في بلادة ، لأنه سيتم اعدام اي شخص يصاب بهذا المرض,False
3429,ARC,هل ينقل البعوض فيروس كورونا ؟ أخبار وطنية,True
179,MFH,نحنا اليوم محتاجين إلى الخطابات القديمة التي أتحفونا فيها زعمائنا تاعيت التفرقة و العداوة حتى نتخطى أزمة الكورونا لأن هلق صار الشعب كله بيفهم وعامل واعي إجتماعيا و بحب خيه بالوطن # لا _ داعي _ للهلع # سنموت _ بعد _ قليل # كورونا _ لبنان,False
2962,4IF,# عاجل | # ترامب : الكثير من الأمريكيين خسروا أحبابا لهم بسبب الفيروس الصيني . . وسيكون لدينا # لقاح آمن وسريع وسنقوم بسحق # فيروس _ كورونا # كورونا # كوفيد _ 19 # بوابة _ الأخبار [رابط],False
199,ARC,[مستخدم] اكتشاف علاج لفايروس كورونا في مصر و تم تجربته في الصين على 7 اشخاص و تم النجاح 100 %,False
4822,ARC,عاجل الحكومة الصينية تعلن رسميا عن نجاح المصل المصري المقدم من وزيرة الصحة المصرية بالقضاء فيروس كورونا . . تفاصيل -,False
2566,ARC,# كررونا اللي يقول ما ينتقل فيروس كورونا من البضائع الصينية كذاب تحذير تحذير عاجل ينتقل فيروس كورونا من البضائع الصينية بصق ينقل الفيروسات يجب توخي الحذر,False
227,MFH,نفت # وزيرة _ الهجرة ، ما تردد بمواقع التواصل الاجتماعي عن وصول مركب من # إيطاليا بطريقة غير شرعية ، إلى محافظة # كفر _ الشيخ تنقل مصريين مصابين بفيروس # كورونا المستجد .,True
624,4IF,رئيس قسم الجراحة بمستشفى كلية العلوم الروسية د . عادل علاو : # روسيا سارعت في إعلان اللقاح ضد # كورونا لأسباب سياسية واقتصادية [رابط],True
350,MFH,اليانسون عنا واصل للركب . . 🤭 # كورونا # كورونا _ لبنان # سنموت _ بعد _ قليل,False
144,ARC,# كورونا معلومة صحية : كيف تستخدم الكمامة . . ؟ الكمامة ، لها وجهان : أبيض و أزرق ، الأبيض معقم ، فإن كنت مصابا وتريد حماية غيرك ، ضع الوجه الأبيض على فمك ليعقم أنفاسك الخارجة ، وضع الأزرق خارجا ، و هو دليل على أنك مصاب فلا يقترب منك أحد,False
3803,ARC,السعودية : إغلاق الحرمين بعد صلاة العشاء وإعادة فتحهما قبل صلاة الفجر احترازيا من كورونا # عميد _ الإمارات,True
3567,MFH,الفرق بينك وبين اللي معه كورونا ، انه هو عمل فحص وإنت لا . # الاردن,False
3552,ARC,الأسئلة الشائعة عن # كوفيد 19 من الأكثر عرضة للإصابة بفيروس # كورونا الجديد ؟ يمكن أن يصاب الأشخاص من كافة الأعمار بفيروس كورونا المستجد ، وحسب الدراسات المتوفرة حاليا تبين أن كبار السن والأشخاص المصابين بحالات مرضية مزمنة هم أكثر عرضة لمضاعفة الفيروس # وزارة _ الصحة # التزامنا _ واجبنا,True
4536,4IF,الرئيس الأمريكي : نعمل على الحصول على لقاح مناسب ضد فيروس كورونا بسرعة وسلامة ، وسنصل إلى ذلك قبل نهاية العام الجاري ، وسنبدأ بإنتاجه بكميات كبيرة ووافرة لتوزيعه على نطاق واسع بعد الحصول على الموافقات الطبية اللازمة لذلك . [رابط],True
3097,ARC,"أثارت فرضية طرحها البروفسور الفرنسي لوك مونتانييه أحد مكتشفي فيروس # الإيدز ، جدلا كبيرا الجمعة في الأوساط العلمية ومفادها أن # فيروس _ كورونا _ المستجد نجم عن "" خطأ ارتكب في مختبر """,True
4525,MFH,الكمامة لا تحتاجها في كل وقت . . هل تعرف متى يجب عليك لبسها ؟ # كورونا _ مصر # تعليم _ مكه [رابط],True
3231,4IF,# الإمارات تنفذ أول حملة تطعيم ضد شلل الأطفال في ظل # كورونا رابط الخبر | [رابط] [مستخدم] [مستخدم] [رابط],True
4778,4IF,إن اقصر مدة استلزمت لتصنيع لقاح والتأكد من جدواه وسلامته ( مع التحفظ ) من مرحلة التطوير حتى الإنتاج في العصر الحديث كانت 4 سنوات لذلك إعطاء لقاح لعموم الناس أكثر مخاطرة من الإصابة بالفيروس الذي 99 % نسبة التعافي منه دون لقاح . . ألا ليت قومي يعقلون [رابط],True
2732,MFH,المانيا 🇧 🇪 أوضح اطباء في مستشفى فرايبورغ الجامعي أن المسحات التي تؤخذ من الفم أو الأنف أو البلعوم لا تثبت دائما الإصابة بفيروس كورونا وقد تعطي نتائج سلبية لحالة مصابة بالفعل بفيروس كورونا . وأوصوا بتحليل عينات أخرى من البراز أو إفرازات الجهاز التنفسي العميقة,True
3587,MFH,"⭕ كإجراءات احترازية ووقائية ضد فايروس كورونا . . قبائل السماوة تفرض على أفرادها و ضيوفها إرتداء الكمامة الطبية والامتناع عن "" التقبيل "" في المجالس والمضايف والمناسبات ، وتستعد لإقامة حملة تثقيفية توعوية للتعرف على أعراض فايروس كورونا وطرق الوقاية منه . [رابط]",True
1183,ARC,الرئيس الصيني يزور احدالمساجد ويطلب من ائمة المسجد الدعاء الى الله ان ينجيهم من ماهم فيه سبحان الله # كورونا # كورونا _ الصيني,False
3589,MFH,الرئيس عبد المجيد تبون يترأس إجتماعا للمجلس الأعلى للأمن لمتابعة تطورات وباء # كورونا في # الجزائر . . وسيتم الإعلان عن عدة إجراءات مهمة للتصدي للأزمة . [رابط],True
3388,4IF,ترمب : قد يتوفر لقاح كورونا قبل الانتخابات # ترامب # كورونا # أميركا # انتخابات [مستخدم] [رابط],True
1909,MFH,[مستخدم] [مستخدم] الله يرحمه ويغفر له ويسكنه فسيح جناته ويلهم أهله وذويه الصبر والسلوان وانا لله وانا اليه راجعون . حسبما علمت ان الطالب المتوفي في السنة الاخيرة ولقد توفي في السلطنة بين اهله لأسباب صحية لا تتعلق بوباء كورونا كوفيد 19 .,True
1550,4IF,WHO : اللقاح وحده لن ينهي # كورونا # عكاظ # ان _ تكون _ اولا # تطبيق _ عكاظ [مستخدم] [رابط],True
2437,4IF,بدء التجارب على لقاح # فيروس _ كورونا الصينى الروسى بحلول نهاية سبتمبر للتفاصيل . . [رابط],True
1590,ARC,صورة للوحة عملاقة في مدينة شيكاغو الأمريكية مكتوب عليها : النبي محمد صلى الله عليه وسلم نصحنا بما يلي : اغسل يديك باستمرار لا تغادر المنطقة إذا انتشر فيها المرض لا تدخل منطقة ينتشر فيها مرض # كورونا # كورونا _ فيروس,True
2328,4IF,عاجل | ترمب : أعتقد أنه سيكون لدينا لقاح ضد فيروس كورونا بحلول نهاية العام الجاري,True
3320,MFH,وفاة قاضي محكمة سكيكدة # يوسفي _ محمد _ الصالح عن عمر ناهز 41 سنة متأثرا بفيروس كورونا وبهذه الفاجعة الأليمة نتقدم الى عائلة الفقيد بأعز المواساة راجين من المولى ان يغفر له ويرحمه ويوسع مدخله وان يلهم ذويه جميل الصبر والسلون . # إنا _ لله _ وإنا _ إليه _ راجعون [رابط],True
2348,ARC,- البروفيسور حسان الحسيني يؤكد عبر # سكاي _ نيوز _ عربية : فيروس # كورونا لا ينتقل عبر الذباب أو البعوض # كوفيد _ 19,True
626,MFH,💣 مباشرة من # البيت _ الأبيض لم ينتبهوا للكاميرا مقطع مسرب لفريق عمل ترامب يتكلمون عن # كورونا _ فيروس بأنه خدعة وبأن اللقاح موجود وأنهم ملقحون ضده فلا داعي للبس الكمامات عندما لا يكون البث . ويخبر أحدهم أن الوفيات مزورة وأن الفيروس ضعيف جدا [رابط],False
3181,MFH,# وزارة _ الصحة الصحة الوقائية : 12 نائبا من المصابين بكورونا لن يتمكنوا من حضور اجتماعات اللجان البرلمانية اليوم وجلسات المجلس إلى حين التأكد من خلوهم من الفيروس [رابط],True
3573,ARC,5 - # سؤال : هل من الآمن استلام الرسائل أو الطرود من الصين ؟ # الاجابة : نعم آمن . لا يعرض استلام الطرود من الصين الناس الى خطر الاصابة بفيروس # كورونا ومن خلال تحليل سابق أجرته المنظمة أن الفيروس لا يعيش فترة طويلة على الاشياء مثل الرسائل أو الطرود,True
